player_name,team,position,actual_rating,predicted_rating,rating_difference
Kevin Akpoguma,Hoffenheim,Defender,2.346090591568955,2.3289868192070893,-0.017103772361865666
Josip Stanišić,Bayer Leverkusen,Defender,2.2421461693635143,2.3283318268439954,0.08618565748048113
Gerrit Holtmann,Darmstadt 98,Midfielder,2.2157880957615133,2.320825683082452,0.10503758732093882
Umut Tohumcu,Hoffenheim,Midfielder,2.283793270775881,2.306230450602181,0.022437179826300113
Denis Huseinbašić,FC Köln,Midfielder,2.2977107573360356,2.296129330465462,-0.001581426870573388
Gonçalo Mendes Paciencia,Bochum,Forward,2.169867162017339,2.279951007785665,0.11008384576832597
Bartol Franjić,Darmstadt 98,Midfielder,2.397121375622856,2.26815012161964,-0.12897125400321618
Grischa Prömel,Hoffenheim,Midfielder,2.1566608759864874,2.2629949695495895,0.10633409356310208
Fares Chaïbi,Eintracht Frankfurt,Forward,1.9978462191964879,2.243744136790545,0.2458979175940572
Mert Kömür,Augsburg,Midfielder,2.1980988959048857,2.2430413827330073,0.04494248682812163
Nico Schlotterbeck,Borussia Dortmund,Defender,2.3129537188066815,2.236216724746275,-0.07673699406040635
Maximilian Mittelstädt,VfB Stuttgart,Defender,2.280450102657827,2.2264565292153695,-0.0539935734424577
Nikola Dovedan,FC Heidenheim,Midfielder,2.420024646078777,2.221497246253267,-0.19852739982550993
Stefan Bell,FSV Mainz 05,Defender,2.070641423462927,2.2177466503324648,0.14710522686953764
Marcel Sabitzer,Borussia Dortmund,Midfielder,2.1588180202886225,2.199928015634893,0.041109995346270356
Maximilian Wöber,Borussia Mönchengladbach,Defender,2.690714068296598,2.179050294381776,-0.511663773914822
Jadon Sancho,Borussia Dortmund,Midfielder,2.176429803026115,2.1608370460017348,-0.015592757024380344
Mattias Svanberg,Wolfsburg,Midfielder,2.1407354284387714,2.160579364634336,0.01984393619556446
Serge Gnabry,Bayern Munich,Forward,2.197132033135685,2.1486444947092322,-0.048487538426452925
Xavi Simons,RB Leipzig,Midfielder,2.118479476612615,2.1478520802365346,0.02937260362391969
Mats Hummels,Borussia Dortmund,Defender,2.5780487009048687,2.1448069978042796,-0.43324170310058907
Mads Pedersen,Augsburg,Defender,2.306326344254227,2.1376174549614095,-0.16870888929281724
Marco Friedl,Werder Bremen,Defender,2.0942503585756773,2.099849648084497,0.005599289508819716
Nathan Tella,Bayer Leverkusen,Midfielder,2.2200944914277874,2.0993815226133035,-0.1207129688144839
Florian Grillitsch,Hoffenheim,Defender,2.3593453406738645,2.090298842872522,-0.26904649780134227
Nicolas Höfler,Freiburg,Midfielder,2.6188737604118675,2.0679441182696974,-0.5509296421421701
Diogo Filipe Monteiro Pinto Leite,Union Berlin,Defender,2.0565662890524,2.0661265564201106,0.009560267367710651
Wout Weghorst,Hoffenheim,Forward,2.1605209295878134,2.062199042018113,-0.09832188756970028
Timo Hübers,FC Köln,Defender,2.0687481255985434,2.0503333845589107,-0.018414741039632698
Marvin Friedrich,Borussia Mönchengladbach,Defender,2.1857907513287587,2.041590686305605,-0.14420006502315363
Alex Král,Union Berlin,Midfielder,2.173622346350074,2.039530978718951,-0.13409136763112306
